transaction_id,customer_id,billing_date,store_id,region,item_id,item_name,category,quantity,unit_price,discount,total_amount
T0102,C119,01-03-2024,S004,North,I045,Laptop,,1,10906,1000,9906
T0435,C125,2024-01-01,S004,South,I045,Table,,-2,41330,500,-83160
T0860,C054,01-03-2024,S002,West,I016,TV,,-1,38088,,-38088
T0270,C026,2024/01/02,S001,West,I065,Phone,electronics,-2,35992,1000,-72984
T0106,C117,2024-01-01,S002,West,I004,TV,Furniture,0,29612,1000,-1000
T0071,C052,2024-01-01,S002,North,I053,Phone,electronics,-1,41054,0,-41054
T0700,C038,2024/01/02,S003,West,I015,Chair,,-2,5199,0,-10398
T0020,C064,2024-02-05,S001,East,I080,Phone,,3,30411,0,91233
T0614,C144,2024-02-05,S003,South,I090,TV,Electronics,2,8652,,17304
T0121,C157,2024/01/02,S001,West,I006,Table,Electronics,0,11727,1000,-1000
T0466,C180,2024/01/02,S001,West,I007,TV,,-1,25409,500,-25909
T0214,C012,01-03-2024,S001,East,I071,TV,electronics,-1,45856,,-45856
T0330,C020,2024-01-01,S003,West,I086,Chair,electronics,2,1450,500,2400
T0458,C146,01-03-2024,S003,North,I095,Laptop,,2,12376,500,24252
T0087,C052,2024/01/02,S003,North,I081,TV,Furniture,4,11839,0,47356
T0372,C018,01-03-2024,S004,North,I037,Chair,electronics,-2,21402,500,-43304
T0099,C056,2024/01/02,S003,West,I053,Table,,-2,38598,500,-77696
T0871,C024,01-03-2024,S004,South,I075,Chair,Electronics,-2,12484,,-24968
T0663,C030,01-03-2024,S004,South,I014,Chair,,4,33194,0,132776
T0130,C080,2024-02-05,S004,West,I091,Phone,electronics,1,2220,500,1720
T0661,C182,2024/01/02,S002,South,I049,Laptop,,0,1093,500,-500
T0308,C022,01-03-2024,S002,South,I055,Laptop,Furniture,-1,21859,500,-22359
T0769,C031,2024-01-01,S002,West,I094,Table,Furniture,0,18250,1000,-1000
T0343,C189,01-03-2024,S004,North,I008,Chair,electronics,2,45488,1000,89976
T0491,C073,01-03-2024,S004,West,I007,Table,,3,25856,0,77568
T0413,C009,2024-01-01,S001,North,I018,Table,Furniture,0,48646,,0
T0805,C199,2024/01/02,S004,North,I050,Laptop,Furniture,0,35649,0,0
T0385,C053,2024-02-05,S002,South,I071,Laptop,Electronics,-2,39887,1000,-80774
T0191,C051,2024-02-05,S004,South,I097,Laptop,electronics,2,35773,0,71546
T0955,C147,2024-02-05,S004,North,I056,TV,Electronics,0,8390,,0
T0276,C159,2024-01-01,S001,North,I067,Chair,Electronics,-1,48128,0,-48128
